Display Name,Organization,Entity Type,Stance,Comment Letter
"Marcus Williams, Commercial Fisherman",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Marcus Williams, Commercial Fisherman
Subject: Formal Comment on Proposed Rulemaking

As a Chesapeake Bay commercial crabbing living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for economic_impact, environmental_protection, quality_of_life. Specifically, our ability to comply is affected by income directly tied to water quality, limited political influence, seasonal and weather-dependent work. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment connecting water quality to fishing livelihood, supporting stronger discharge limits, and describing observed environmental decline..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Marcus Williams, Commercial Fisherman"
Independent Petroleum Association of America,Independent Petroleum Association of America,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Independent Petroleum Association of America
Organization: Independent Petroleum Association of America
Subject: Formal Comment on Proposed Rulemaking

The Independent Petroleum Association of America represents a broad spectrum of interests in independent oil and gas producer advocacy, small producer regulatory relief campaigns. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, energy_reliability. Specifically, our ability to comply is affected by members are predominantly small producers, price volatility and capital access limitations, remote well site monitoring challenges. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing one-size-fits-all methane rules, requesting exemptions for marginal wells, and arguing for production-based thresholds..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Independent Petroleum Association of America"
"Dr. Francesca Dominici, Biostatistician",Harvard T.H. Chan School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Francesca Dominici, Biostatistician
Organization: Harvard T.H. Chan School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Harvard T.H. Chan School of Public Health specializing in large-scale air pollution and health outcome studies, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, healthcare_costs. Specifically, our ability to comply is affected by statistical methodology rigor, data access agreements with CMS, peer-review timelines. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency presenting epidemiological evidence of health impacts at current pollution levels, supporting lower thresholds, and offering methodological recommendations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Francesca Dominici, Biostatistician"
Caterpillar Inc.,Caterpillar Inc.,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Caterpillar Inc.
Organization: Caterpillar Inc.
Subject: Formal Comment on Proposed Rulemaking

Caterpillar Inc., a global leader in heavy equipment and diesel engine manufacturing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, implementation_timeline, operational_burden. Specifically, our ability to comply is affected by global product harmonization needs, diesel engine technology transition timelines, customer fleet turnover cycles. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting alignment with international emission standards, adequate lead time for engine redesign, and recognition of technology development cycles. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Caterpillar Inc."
Moms Clean Air Force,Moms Clean Air Force,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Moms Clean Air Force
Organization: Moms Clean Air Force
Subject: Formal Comment on Proposed Rulemaking

On behalf of Moms Clean Air Force and our mission to support parent-led clean air advocacy, children's health and pollution campaigns, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, community_impact. Specifically, our ability to comply is affected by family-centered messaging requirements, volunteer-driven organizing capacity, children's health evidence base. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency focused on children's health vulnerabilities to pollution, supporting the strongest possible standards, with real-world family impact examples..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Moms Clean Air Force"
Martinez Brothers Welding & Fabrication,Martinez Brothers Welding & Fabrication,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Martinez Brothers Welding & Fabrication
Organization: Martinez Brothers Welding & Fabrication
Subject: Formal Comment on Proposed Rulemaking

As the owner of Martinez Brothers Welding & Fabrication, a small business employing 8-person people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, worker_safety, small_business_viability. Specifically, our ability to comply is affected by 8-person shop with no environmental compliance staff, ventilation system upgrade costs, OSHA and EPA dual compliance burden. Success in this rulemaking requires a pragmatic approach. We suggest the agency describing dual regulatory burden on small fabrication shops, requesting coordinated OSHA-EPA compliance guidance and financial assistance. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Martinez Brothers Welding & Fabrication"
Chevron Corporation,Chevron Corporation,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Chevron Corporation
Organization: Chevron Corporation
Subject: Formal Comment on Proposed Rulemaking

Chevron Corporation, a global leader in upstream oil and gas production, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by long-term capital investment cycles, refinery turnaround scheduling, global operational consistency requirements. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead challenging the cost-benefit analysis, requesting technology-neutral standards, and emphasizing energy reliability and affordability impacts..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Chevron Corporation"
Environmental Defense Fund,Environmental Defense Fund,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Environmental Defense Fund
Organization: Environmental Defense Fund
Subject: Formal Comment on Proposed Rulemaking

On behalf of Environmental Defense Fund and our mission to support market-based environmental policy advocacy, methane emission reduction campaigns, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for climate_action, environmental_protection, economic_impact. Specifically, our ability to comply is affected by economics-based argument framing, bipartisan credibility maintenance, scientific rigor requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the rule with economic analysis showing net benefits, citing market-based mechanisms, and recommending monitoring and verification improvements..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Environmental Defense Fund"
Colorado Department of Public Health and Environment,Colorado Department of Public Health and Environment,government_agency,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Colorado Department of Public Health and Environment
Organization: Colorado Department of Public Health and Environment
Subject: Formal Comment on Proposed Rulemaking

The Colorado Department of Public Health and Environment submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state air quality regulation with oil and gas focus, ozone nonattainment area management.

Our analysis of the proposal highlights significant implications for regulatory_alignment, public_health, environmental_protection. Specifically, our ability to comply is affected by Front Range ozone nonattainment obligations, oil and gas industry presence in state, existing state methane regulations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting federal standards at least as stringent as Colorado's existing rules, and requesting alignment to prevent regulatory patchwork..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Colorado Department of Public Health and Environment"
American Water Works Association,American Water Works Association,trade_association,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: American Water Works Association
Organization: American Water Works Association
Subject: Formal Comment on Proposed Rulemaking

The American Water Works Association represents a broad spectrum of interests in drinking water utility advocacy for 50,000+ members, water quality standards development. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, implementation_timeline, public_health. Specifically, our ability to comply is affected by ratepayer affordability concerns, aging water infrastructure, treatment technology limitations for emerging contaminants. Success in this rulemaking requires a pragmatic approach. We suggest the agency supporting health-protective standards while requesting federal funding for treatment upgrades, extended compliance timelines, and technical assistance for small systems. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Water Works Association"
"Angela Richardson, Environmental Justice Activist",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Angela Richardson, Environmental Justice Activist
Subject: Formal Comment on Proposed Rulemaking

As a resident of Cancer Alley in St. James Parish, Louisiana living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by low-income community with limited resources, direct exposure to multiple industrial facilities, generational community ties. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency describing life in a petrochemical corridor, demanding cumulative impact assessment, and supporting the strongest possible protections..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Angela Richardson, Environmental Justice Activist"
"Dr. Daniel Jaffe, Atmospheric Scientist",University of Washington Bothell,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Daniel Jaffe, Atmospheric Scientist
Organization: University of Washington Bothell
Subject: Formal Comment on Proposed Rulemaking

As a researcher at University of Washington Bothell specializing in wildfire smoke and air quality research, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for scientific_integrity, public_health, environmental_protection. Specifically, our ability to comply is affected by field measurement logistics, climate change and wildfire interaction uncertainties, research funding cycles. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency providing scientific evidence on background ozone and wildfire smoke contributions, recommending exceptional event provisions and monitoring improvements..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Daniel Jaffe, Atmospheric Scientist"
National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: National Rural Electric Cooperative Association
Organization: National Rural Electric Cooperative Association
Subject: Formal Comment on Proposed Rulemaking

The National Rural Electric Cooperative Association represents a broad spectrum of interests in rural electric cooperative advocacy for 900+ co-ops, rural grid reliability programs. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, energy_reliability, economic_impact. Specifically, our ability to comply is affected by serving 42 million people in rural America, limited rate base for capital investment, transmission infrastructure challenges. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing emission standards that threaten rural grid reliability, requesting co-op specific exemptions and extended compliance timelines..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Rural Electric Cooperative Association"
Valley Chrome Plating,Valley Chrome Plating,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Valley Chrome Plating
Organization: Valley Chrome Plating
Subject: Formal Comment on Proposed Rulemaking

As the owner of Valley Chrome Plating, a small business employing 15 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, implementation_timeline. Specifically, our ability to comply is affected by 15 employees in single facility, technology transition to trivalent chrome uncertain, customer specifications require hexavalent chrome. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting extended phase-out timelines for hexavalent chrome in small plating shops, technology transfer assistance, and recognition of customer specification constraints. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Valley Chrome Plating"
International Brotherhood of Teamsters,International Brotherhood of Teamsters,trade_association,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: International Brotherhood of Teamsters
Organization: International Brotherhood of Teamsters
Subject: Formal Comment on Proposed Rulemaking

The International Brotherhood of Teamsters represents a broad spectrum of interests in trucking and freight worker representation, diesel vehicle fleet transition advocacy. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for worker_safety, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by member job security in transition, diesel fleet replacement costs for owner-operators, training and certification requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency supporting emission reductions that protect worker health while ensuring just transition provisions, retraining programs, and protections for owner-operators. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

International Brotherhood of Teamsters"
BASF Corporation,BASF Corporation,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: BASF Corporation
Organization: BASF Corporation
Subject: Formal Comment on Proposed Rulemaking

BASF Corporation, a global leader in chemical manufacturing across multiple U.S. sites, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, implementation_timeline. Specifically, our ability to comply is affected by integrated chemical process interdependencies, global regulatory alignment needs, ongoing sustainability investment commitments. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting recognition of integrated manufacturing constraints, harmonization with EU chemical regulations, and credit for voluntary sustainability initiatives. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

BASF Corporation"
Appalachian Citizens' Law Center,Appalachian Citizens' Law Center,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Appalachian Citizens' Law Center
Organization: Appalachian Citizens' Law Center
Subject: Formal Comment on Proposed Rulemaking

On behalf of Appalachian Citizens' Law Center and our mission to support legal representation for coalfield communities, mining permit and enforcement advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by limited legal staff serving large geographic area, client communities facing economic transition, coal industry political influence in region. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting strong protections for coalfield communities, requesting just transition provisions, and documenting ongoing health impacts from mining operations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Appalachian Citizens' Law Center"
Council of State and Territorial Epidemiologists,Council of State and Territorial Epidemiologists,professional,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Council of State and Territorial Epidemiologists
Organization: Council of State and Territorial Epidemiologists
Subject: Formal Comment on Proposed Rulemaking

As a public health surveillance methodology development living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, scientific_integrity, environmental_protection. Specifically, our ability to comply is affected by evidence-based recommendation standards, state health department capacity variations, data sharing and privacy requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting health-protective standards based on epidemiological evidence, requesting enhanced environmental health surveillance funding..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Council of State and Territorial Epidemiologists"
Louisiana Mid-Continent Oil and Gas Association,Louisiana Mid-Continent Oil and Gas Association,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Louisiana Mid-Continent Oil and Gas Association
Organization: Louisiana Mid-Continent Oil and Gas Association
Subject: Formal Comment on Proposed Rulemaking

The Louisiana Mid-Continent Oil and Gas Association represents a broad spectrum of interests in Gulf Coast oil and gas producer advocacy, offshore and onshore production coordination. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by hurricane and coastal resilience challenges, mature basin production economics, workforce availability in Gulf region. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing additional emission requirements for Gulf Coast operations, citing hurricane vulnerability, workforce challenges, and mature basin economics..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Louisiana Mid-Continent Oil and Gas Association"
"Dr. Ana Diez Roux, Urban Health Researcher",Drexel University Dornsife School of Public Health,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Ana Diez Roux, Urban Health Researcher
Organization: Drexel University Dornsife School of Public Health
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Drexel University Dornsife School of Public Health specializing in urban health and social epidemiology research, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for public_health, environmental_justice, scientific_integrity. Specifically, our ability to comply is affected by longitudinal study design requirements, social determinants of health complexity, multi-institutional collaboration coordination. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency presenting evidence on neighborhood-level pollution exposure disparities, supporting health-protective standards with equity considerations..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Ana Diez Roux, Urban Health Researcher"
Georgia-Pacific LLC,Georgia-Pacific LLC,large_corporation,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Georgia-Pacific LLC
Organization: Georgia-Pacific LLC
Subject: Formal Comment on Proposed Rulemaking

Georgia-Pacific LLC, a global leader in pulp and paper manufacturing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by biomass boiler emission variability, forest products market competition, rural mill location workforce limitations. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead requesting recognition of biomass energy as carbon neutral, opposing new boiler emission limits, and requesting rural facility flexibility..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Georgia-Pacific LLC"
"Michigan Department of Environment, Great Lakes, and Energy","Michigan Department of Environment, Great Lakes, and Energy",government_agency,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Michigan Department of Environment, Great Lakes, and Energy
Organization: Michigan Department of Environment, Great Lakes, and Energy
Subject: Formal Comment on Proposed Rulemaking

The Michigan Department of Environment, Great Lakes, and Energy submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in Great Lakes water quality protection, state air quality permitting and enforcement.

Our analysis of the proposal highlights significant implications for regulatory_alignment, public_health, environmental_protection. Specifically, our ability to comply is affected by PFAS contamination statewide priority, auto industry transition impacts, Great Lakes Compact obligations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting federal PFAS standards, sharing Michigan's experience with state-level PFAS regulation, and requesting federal funding for contamination response..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Michigan Department of Environment, Great Lakes, and Energy"
"David Kim, Urban Gardener and Teacher",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: David Kim, Urban Gardener and Teacher
Subject: Formal Comment on Proposed Rulemaking

As a elementary school teacher in Los Angeles living in lives in air quality nonattainment area, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, environmental_justice, quality_of_life. Specifically, our ability to comply is affected by lives in air quality nonattainment area, students frequently miss school due to asthma, limited time for advocacy beyond teaching. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment connecting classroom experience with air quality, describing student asthma impacts, and supporting stronger emission controls near schools..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

David Kim, Urban Gardener and Teacher"
American Society of Civil Engineers,American Society of Civil Engineers,professional,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: American Society of Civil Engineers
Organization: American Society of Civil Engineers
Subject: Formal Comment on Proposed Rulemaking

As a infrastructure standards development living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for implementation_timeline, compliance_cost, infrastructure_needs. Specifically, our ability to comply is affected by technical feasibility assessment standards, public safety engineering obligations, state licensing board requirements. Success in this rulemaking requires a pragmatic approach. We suggest the agency providing engineering perspective on infrastructure requirements for compliance, requesting realistic construction timelines and technical standards clarity. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Society of Civil Engineers"
Archer Daniels Midland Company,Archer Daniels Midland Company,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Archer Daniels Midland Company
Organization: Archer Daniels Midland Company
Subject: Formal Comment on Proposed Rulemaking

Archer Daniels Midland Company, a global leader in agricultural commodity processing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, implementation_timeline. Specifically, our ability to comply is affected by harvest season operational peaks, grain dust and VOC emission variability, biofuel policy alignment needs. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting seasonal compliance flexibility for agricultural processors, recognition of biofuel contributions to emission reductions, and grain handling exemptions. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Archer Daniels Midland Company"
Beyond Pesticides,Beyond Pesticides,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Beyond Pesticides
Organization: Beyond Pesticides
Subject: Formal Comment on Proposed Rulemaking

On behalf of Beyond Pesticides and our mission to support pesticide reduction advocacy, organic and regenerative agriculture promotion, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, community_impact. Specifically, our ability to comply is affected by science-based advocacy requirements, coalition coordination with health organizations, limited research funding. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting stronger pesticide restrictions, citing health studies on chronic exposure, and recommending organic alternatives and buffer zones..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Beyond Pesticides"
Pacific Gas and Electric Company,Pacific Gas and Electric Company,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Pacific Gas and Electric Company
Organization: Pacific Gas and Electric Company
Subject: Formal Comment on Proposed Rulemaking

Pacific Gas and Electric Company, a global leader in electric and natural gas utility service, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, energy_reliability, implementation_timeline. Specifically, our ability to comply is affected by wildfire liability and bankruptcy recovery, rate case proceedings and customer affordability, California regulatory compliance obligations. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting coordination between emission requirements and wildfire resilience investments, and rate recovery mechanisms for compliance costs. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Pacific Gas and Electric Company"
"Dr. Paul Anastas, Green Chemistry Pioneer",Yale School of the Environment,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Paul Anastas, Green Chemistry Pioneer
Organization: Yale School of the Environment
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Yale School of the Environment specializing in green chemistry research and education, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for scientific_integrity, environmental_protection, public_health. Specifically, our ability to comply is affected by academic freedom and peer review standards, industry collaboration transparency, former EPA official perspective. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency advocating for pollution prevention over end-of-pipe controls, recommending green chemistry approaches, and supporting technology-forcing standards..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Paul Anastas, Green Chemistry Pioneer"
American Trucking Associations,American Trucking Associations,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: American Trucking Associations
Organization: American Trucking Associations
Subject: Formal Comment on Proposed Rulemaking

The American Trucking Associations represents a broad spectrum of interests in trucking industry advocacy for 37,000+ member fleets, freight transportation policy. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, implementation_timeline. Specifically, our ability to comply is affected by fleet turnover economics (8-10 year replacement cycles), zero-emission vehicle infrastructure gaps, driver shortage and retention challenges. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing accelerated truck emission timelines, citing infrastructure readiness gaps, fleet replacement economics, and supply chain disruption risks..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Trucking Associations"
Riverkeeper Inc.,Riverkeeper Inc.,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Riverkeeper Inc.
Organization: Riverkeeper Inc.
Subject: Formal Comment on Proposed Rulemaking

On behalf of Riverkeeper Inc. and our mission to support Hudson River watershed protection, clean water enforcement and patrol, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_protection, public_health, community_impact. Specifically, our ability to comply is affected by legal standing requirements for citizen suits, water quality monitoring capacity, nonprofit funding limitations. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting stronger discharge limits for industrial facilities along the Hudson, citing water quality monitoring data and community health concerns..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Riverkeeper Inc."
Prairie State Grain Elevator,Prairie State Grain Elevator,small_business,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Prairie State Grain Elevator
Organization: Prairie State Grain Elevator
Subject: Formal Comment on Proposed Rulemaking

As the owner of Prairie State Grain Elevator, a small business employing seasonal people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, operational_burden. Specifically, our ability to comply is affected by seasonal operation with harvest peak, 6 full-time employees, rural location with limited contractor access. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead requesting agricultural facility exemptions, seasonal compliance flexibility, and recognition of grain elevator operational constraints..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Prairie State Grain Elevator"
