display_name,organization,stance,comment_letter
"Sarah Mitchell, Mother of Child with Rare Disease",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Sarah Mitchell, Mother of Child with Rare Disease appreciates the opportunity to provide these formal comments. As an entity engaged in parent caregiver for child with Duchenne muscular dystrophy, rare disease advocacy community participant, expanded access program navigator, our perspective is deeply informed by our operational environment, which includes urgency of treatment access for progressive disease, financial burden of rare disease care, navigating compassionate use bureaucracy.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting accelerated approval for rare diseases, simplified expanded access, and meaningful patient input in benefit-risk assessment.

The proposed changes will directly impact our operations in the following areas: patient_access, patient_safety, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient access, patient safety, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Sarah Mitchell, Mother of Child with Rare Disease
Sarah Mitchell, Mother of Child with Rare Disease"
American Herbal Products Association,American Herbal Products Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Herbal Products Association appreciates the opportunity to provide these formal comments. As an entity engaged in herbal and botanical supplement industry advocacy, identity testing and quality standards development, DSHEA regulatory framework defense, our perspective is deeply informed by our operational environment, which includes DSHEA framework preservation priorities, small manufacturer membership base, traditional use evidence standards.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing mandatory pre-market approval for dietary supplements, defending the DSHEA framework, and proposing industry-led quality standards.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Herbal Products Association
American Herbal Products Association"
New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

New York City Department of Health and Mental Hygiene appreciates the opportunity to provide these formal comments. As an entity engaged in municipal food safety inspection and grading, tobacco and e-cigarette local regulation, sodium and trans fat reduction initiatives, our perspective is deeply informed by our operational environment, which includes federal preemption limitations on local action, diverse population dietary and cultural needs, city-level enforcement resource constraints.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting national sodium reduction targets, flavored tobacco product prohibitions, and preserving local authority to adopt more protective standards.

The proposed changes will directly impact our operations in the following areas: public_health, regulatory_alignment, consumer_protection. We urge the Agency to consider these factors, particularly how they affect public health, regulatory alignment, consumer protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

New York City Department of Health and Mental Hygiene
New York City Department of Health and Mental Hygiene"
Eli Lilly and Company,Eli Lilly and Company,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Eli Lilly and Company appreciates the opportunity to provide these formal comments. As an entity engaged in diabetes and obesity therapeutic development, insulin manufacturing and pricing programs, oncology and immunology drug pipeline, our perspective is deeply informed by our operational environment, which includes insulin pricing political scrutiny, GLP-1 receptor agonist supply constraints, clinical trial diversity requirements.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment addressing insulin access commitments, requesting clear regulatory pathways for obesity treatments, and supporting clinical trial diversity while noting recruitment challenges.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, patient_access. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, patient access, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Eli Lilly and Company
Eli Lilly and Company"
National Organization for Rare Disorders,National Organization for Rare Disorders (NORD),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Organization for Rare Disorders (NORD) appreciates the opportunity to provide these formal comments. As an entity engaged in rare disease patient advocacy for 7,000+ conditions, orphan drug policy and access programs, patient assistance and education services, our perspective is deeply informed by our operational environment, which includes small patient population evidence generation challenges, orphan drug exclusivity and incentive policy, diverse rare disease community needs.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting orphan drug incentives, flexible clinical trial designs for rare diseases, and patient-centered benefit-risk frameworks.

The proposed changes will directly impact our operations in the following areas: patient_access, innovation_impact, affordability. We urge the Agency to consider these factors, particularly how they affect patient access, innovation impact, affordability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Organization for Rare Disorders
National Organization for Rare Disorders (NORD)"
"Dr. Eric Topol, Digital Medicine Researcher",Scripps Research Translational Institute,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Scripps Research Translational Institute appreciates the opportunity to provide these formal comments. As an entity engaged in digital health and AI in medicine research, clinical trial innovation and real-world evidence, genomics and precision medicine studies, our perspective is deeply informed by our operational environment, which includes rapidly evolving digital health technology landscape, AI/ML model validation requirements, clinical evidence generation for digital therapeutics.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting adaptive regulatory frameworks for AI-enabled medical devices, real-world evidence standards, and digital therapeutic approval pathways.

The proposed changes will directly impact our operations in the following areas: innovation_impact, patient_safety, scientific_integrity. We urge the Agency to consider these factors, particularly how they affect innovation impact, patient safety, scientific integrity, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Eric Topol, Digital Medicine Researcher
Scripps Research Translational Institute"
American Pharmacists Association,American Pharmacists Association,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Pharmacists Association appreciates the opportunity to provide these formal comments. As an entity engaged in pharmacist practice scope and advocacy, medication safety and drug information standards, pharmacy education and professional development, our perspective is deeply informed by our operational environment, which includes state-by-state scope of practice variation, pharmacist-physician collaboration requirements, medication therapy management reimbursement.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting expanded pharmacist prescribing authority for OTC-to-Rx switches, pharmacy-based testing services, and medication safety reporting improvements.

The proposed changes will directly impact our operations in the following areas: patient_safety, patient_access, clinical_practice. We urge the Agency to consider these factors, particularly how they affect patient safety, patient access, clinical practice, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Pharmacists Association
American Pharmacists Association"
Maple Leaf Craft Brewery,Maple Leaf Craft Brewery,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Maple Leaf Craft Brewery appreciates the opportunity to provide these formal comments. As an entity engaged in craft beer production and taproom sales, ingredient sourcing and labeling compliance, seasonal and limited-release brewing, our perspective is deeply informed by our operational environment, which includes 7 employees including brewmaster, TTB and FDA dual jurisdiction confusion, allergen labeling for specialty ingredients.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear FDA-TTB jurisdictional guidance for craft beverages, proportional labeling requirements, and small producer exemptions.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, regulatory_alignment. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, regulatory alignment, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Maple Leaf Craft Brewery
Maple Leaf Craft Brewery"
AdvaMed (Advanced Medical Technology Association),Advanced Medical Technology Association,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Advanced Medical Technology Association appreciates the opportunity to provide these formal comments. As an entity engaged in medical device and diagnostic industry advocacy, regulatory pathway and reimbursement policy, innovation incentive and trade coordination, our perspective is deeply informed by our operational environment, which includes diverse membership from startups to multinationals, medical device tax policy impact, cybersecurity and interoperability standards evolution.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting risk-based regulatory frameworks, requesting cybersecurity guidance harmonization, and opposing medical device user fees that disadvantage small companies.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

AdvaMed (Advanced Medical Technology Association)
Advanced Medical Technology Association"
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Regeneron Pharmaceuticals Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in monoclonal antibody and gene therapy development, ophthalmology and immunology biologics, VelociSuite drug discovery technology platform, our perspective is deeply informed by our operational environment, which includes biologic manufacturing scale-up complexity, gene therapy regulatory pathway uncertainty, post-market REMS obligations.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear gene and cell therapy regulatory pathways, proportional manufacturing requirements for biologics, and streamlined REMS when safety profiles are established.

The proposed changes will directly impact our operations in the following areas: innovation_impact, compliance_cost, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect innovation impact, compliance cost, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Regeneron Pharmaceuticals
Regeneron Pharmaceuticals Inc."
Center for Food Safety,Center for Food Safety,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Center for Food Safety appreciates the opportunity to provide these formal comments. As an entity engaged in genetically engineered food labeling advocacy, pesticide residue and food contamination campaigns, organic and sustainable agriculture policy, our perspective is deeply informed by our operational environment, which includes litigation-driven advocacy model, scientific evidence documentation standards, coalition coordination with organic industry.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory GMO labeling, opposing GRAS self-affirmation without FDA review, and requesting pesticide residue monitoring improvements.

The proposed changes will directly impact our operations in the following areas: consumer_protection, public_health, environmental_protection. We urge the Agency to consider these factors, particularly how they affect consumer protection, public health, environmental protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Center for Food Safety
Center for Food Safety"
Minnesota Department of Agriculture,Minnesota Department of Agriculture,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Minnesota Department of Agriculture appreciates the opportunity to provide these formal comments. As an entity engaged in state food safety and dairy inspection, pesticide registration and enforcement, industrial hemp and emerging crop regulation, our perspective is deeply informed by our operational environment, which includes dairy industry economic significance in state, CBD and hemp food product regulatory uncertainty, limited laboratory testing capacity.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear federal guidance on CBD in food products, adequate state implementation support, and recognition of state dairy inspection programs.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, state_authority, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, state authority, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Minnesota Department of Agriculture
Minnesota Department of Agriculture"
"Dr. Luciana Borio, Biosecurity Expert",Council on Foreign Relations (Senior Fellow),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Council on Foreign Relations (Senior Fellow) appreciates the opportunity to provide these formal comments. As an entity engaged in biodefense and pandemic preparedness policy, medical countermeasure regulatory pathway research, former FDA Acting Chief Scientist, our perspective is deeply informed by our operational environment, which includes national security perspective on regulatory agility, EUA framework lessons from COVID-19, international health security coordination.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting improved emergency use authorization frameworks, pandemic preparedness regulatory pathways, and medical countermeasure development incentives.

The proposed changes will directly impact our operations in the following areas: public_health, innovation_impact, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect public health, innovation impact, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Luciana Borio, Biosecurity Expert
Council on Foreign Relations (Senior Fellow)"
International Dairy Foods Association,International Dairy Foods Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

International Dairy Foods Association appreciates the opportunity to provide these formal comments. As an entity engaged in dairy product manufacturing advocacy, milk and cheese standards of identity defense, food labeling and nutrition policy, our perspective is deeply informed by our operational environment, which includes plant-based alternative labeling competition, standards of identity enforcement needs, seasonal milk production variability.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing plant-based product use of dairy terms, supporting standards of identity enforcement, and requesting clear labeling distinctions.

The proposed changes will directly impact our operations in the following areas: compliance_cost, consumer_protection, economic_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, consumer protection, economic impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

International Dairy Foods Association
International Dairy Foods Association"
"Thomas Rivera, HIV Patient Advocate",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Thomas Rivera, HIV Patient Advocate appreciates the opportunity to provide these formal comments. As an entity engaged in living with HIV for 20 years on antiretroviral therapy, LGBTQ+ health access advocate, FDA Patient Representative program participant, our perspective is deeply informed by our operational environment, which includes long-term medication side effect management, insurance formulary access challenges, stigma-related barriers to care.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting generic antiretroviral access, long-acting injectable approvals, and patient involvement in FDA advisory committees.

The proposed changes will directly impact our operations in the following areas: patient_access, affordability, patient_safety. We urge the Agency to consider these factors, particularly how they affect patient access, affordability, patient safety, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Thomas Rivera, HIV Patient Advocate
Thomas Rivera, HIV Patient Advocate"
Stryker Corporation,Stryker Corporation,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Stryker Corporation appreciates the opportunity to provide these formal comments. As an entity engaged in orthopedic implant and surgical equipment manufacturing, neurotechnology and spine devices, hospital bed and medical furniture production, our perspective is deeply informed by our operational environment, which includes metal-on-metal implant post-market surveillance obligations, unique device identification (UDI) system compliance, international regulatory convergence needs.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting UDI system improvements, requesting international implant registry harmonization, and proposing risk-proportionate post-market surveillance.

The proposed changes will directly impact our operations in the following areas: compliance_cost, implementation_timeline, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, implementation timeline, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Stryker Corporation
Stryker Corporation"
American Cancer Society Cancer Action Network,American Cancer Society Cancer Action Network,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Cancer Society Cancer Action Network appreciates the opportunity to provide these formal comments. As an entity engaged in cancer prevention and treatment access advocacy, tobacco control policy campaigns, oncology drug approval and access policy, our perspective is deeply informed by our operational environment, which includes patient-centered evidence standards, tobacco industry opposition management, health equity in cancer outcomes.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting accelerated cancer drug approvals with rigorous confirmatory requirements, tobacco product regulation, and clinical trial diversity mandates.

The proposed changes will directly impact our operations in the following areas: public_health, patient_access, youth_protection. We urge the Agency to consider these factors, particularly how they affect public health, patient access, youth protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Cancer Society Cancer Action Network
American Cancer Society Cancer Action Network"
American Nurses Association,American Nurses Association,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Nurses Association appreciates the opportunity to provide these formal comments. As an entity engaged in nursing practice standards and advocacy, patient safety and medication administration policy, nursing workforce development, our perspective is deeply informed by our operational environment, which includes nursing staff shortage and workload concerns, medication error prevention priorities, scope of practice considerations.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting clearer drug labeling for nursing administration, medication error reporting improvements, and nurse involvement in drug safety advisory processes.

The proposed changes will directly impact our operations in the following areas: patient_safety, clinical_practice, public_health. We urge the Agency to consider these factors, particularly how they affect patient safety, clinical practice, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Nurses Association
American Nurses Association"
Altria Group Inc.,Altria Group Inc.,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Altria Group Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in cigarette and smokeless tobacco manufacturing, heated tobacco product development (IQOS), nicotine pouch and harm reduction product portfolio, our perspective is deeply informed by our operational environment, which includes PMTA submission and review obligations, modified risk tobacco product pathway requirements, declining cigarette market and portfolio transition.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing product category bans, supporting modified risk tobacco product pathways, and requesting science-based regulation that enables harm reduction.

The proposed changes will directly impact our operations in the following areas: compliance_cost, economic_impact, innovation_impact. We urge the Agency to consider these factors, particularly how they affect compliance cost, economic impact, innovation impact, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Altria Group Inc.
Altria Group Inc."
"Dr. Janet Woodcock, Former FDA Principal Deputy Commissioner",Georgetown University (Advisor),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Georgetown University (Advisor) appreciates the opportunity to provide these formal comments. As an entity engaged in pharmaceutical regulation and drug safety policy, generic drug and manufacturing quality research, regulatory science leadership, our perspective is deeply informed by our operational environment, which includes former FDA leadership institutional knowledge, pharmaceutical manufacturing quality perspectives, drug shortage prevention expertise.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting manufacturing quality improvements, drug shortage prevention mechanisms, and accelerated approval program strengthening.

The proposed changes will directly impact our operations in the following areas: patient_safety, innovation_impact, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect patient safety, innovation impact, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Janet Woodcock, Former FDA Principal Deputy Commissioner
Georgetown University (Advisor)"
National Cattlemen's Beef Association,National Cattlemen's Beef Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Cattlemen's Beef Association appreciates the opportunity to provide these formal comments. As an entity engaged in beef industry advocacy for cattle producers, meat labeling and standards of identity, animal drug and feed additive policy, our perspective is deeply informed by our operational environment, which includes cell-cultured meat labeling competition concerns, antibiotic use policy in cattle production, beef export market access requirements.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing cell-cultured product use of meat terms, supporting voluntary antibiotic stewardship over mandates, and requesting origin labeling requirements.

The proposed changes will directly impact our operations in the following areas: compliance_cost, economic_impact, consumer_protection. We urge the Agency to consider these factors, particularly how they affect compliance cost, economic impact, consumer protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Cattlemen's Beef Association
National Cattlemen's Beef Association"
Good Food Institute,Good Food Institute,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Good Food Institute appreciates the opportunity to provide these formal comments. As an entity engaged in alternative protein innovation advocacy, cell-cultured meat regulatory pathway engagement, plant-based food labeling policy, our perspective is deeply informed by our operational environment, which includes novel food ingredient regulatory uncertainty, FDA-USDA joint jurisdiction coordination, consumer acceptance and labeling clarity needs.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting clear regulatory pathways for cell-cultured meat, opposing restrictive labeling requirements for plant-based products, and requesting pre-market consultation improvements.

The proposed changes will directly impact our operations in the following areas: innovation_impact, consumer_protection, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect innovation impact, consumer protection, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Good Food Institute
Good Food Institute"
Rosa's Kitchen Food Truck,Rosa's Kitchen Food Truck,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Rosa's Kitchen Food Truck appreciates the opportunity to provide these formal comments. As an entity engaged in mobile food service with Latin American cuisine, commissary kitchen food preparation, catering and event services, our perspective is deeply informed by our operational environment, which includes 3-person operation including owner-operator, multi-jurisdictional permitting (city, county, state, FDA), limited capacity for allergen documentation.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting simplified allergen labeling guidance for food trucks, proportional food safety requirements for mobile vendors, and regulatory harmonization across jurisdictions.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Rosa's Kitchen Food Truck
Rosa's Kitchen Food Truck"
Merck & Co. Inc.,Merck & Co. Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Merck & Co. Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in pharmaceutical and vaccine development and manufacturing, animal health products division, oncology immunotherapy pipeline (Keytruda), our perspective is deeply informed by our operational environment, which includes blockbuster drug patent cliff management, vaccine manufacturing scale and cold chain requirements, global regulatory submission coordination.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting predictable regulatory review timelines, international regulatory harmonization for vaccines, and flexibility in post-approval manufacturing changes.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Merck & Co. Inc.
Merck & Co. Inc."
Truth Initiative,Truth Initiative,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Truth Initiative appreciates the opportunity to provide these formal comments. As an entity engaged in youth tobacco and nicotine prevention programs, truth® anti-tobacco campaign operations, e-cigarette cessation support services, our perspective is deeply informed by our operational environment, which includes youth-focused research and messaging standards, tobacco Master Settlement Agreement funding, rapidly evolving nicotine product landscape.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting comprehensive flavored tobacco bans, stricter marketing restrictions for e-cigarettes, and youth access prevention enforcement.

The proposed changes will directly impact our operations in the following areas: youth_protection, public_health, regulatory_enforcement. We urge the Agency to consider these factors, particularly how they affect youth protection, public health, regulatory enforcement, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Truth Initiative
Truth Initiative"
"Dr. Dariush Mozaffarian, Nutrition Policy Researcher",Tufts Friedman School of Nutrition Science and Policy,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Tufts Friedman School of Nutrition Science and Policy appreciates the opportunity to provide these formal comments. As an entity engaged in nutrition and chronic disease epidemiology research, Food is Medicine policy development, dietary guideline evidence review, our perspective is deeply informed by our operational environment, which includes nutrition science complexity and evolving evidence, food industry research funding transparency, policy translation of nutritional science.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment presenting nutritional science evidence supporting updated food additive safety reviews, healthy food labeling criteria, and sodium reduction targets.

The proposed changes will directly impact our operations in the following areas: public_health, scientific_integrity, consumer_protection. We urge the Agency to consider these factors, particularly how they affect public health, scientific integrity, consumer protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Dariush Mozaffarian, Nutrition Policy Researcher
Tufts Friedman School of Nutrition Science and Policy"
American Dental Association,American Dental Association,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Dental Association appreciates the opportunity to provide these formal comments. As an entity engaged in dental practice standards and advocacy, dental device and material safety evaluation, dental amalgam and fluoride policy, our perspective is deeply informed by our operational environment, which includes patient safety and material biocompatibility, dental device reclassification impacts, practice cost considerations for material transitions.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting evidence-based dental material standards, adequate transition timelines for amalgam phase-downs, and dentist involvement in device classification decisions.

The proposed changes will directly impact our operations in the following areas: patient_safety, compliance_cost, clinical_practice. We urge the Agency to consider these factors, particularly how they affect patient safety, compliance cost, clinical practice, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Dental Association
American Dental Association"
GlaxoSmithKline (GSK) plc,GSK plc,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

GSK plc appreciates the opportunity to provide these formal comments. As an entity engaged in vaccine and specialty medicine development, respiratory and HIV therapeutic portfolio, consumer healthcare spin-off (Haleon) coordination, our perspective is deeply informed by our operational environment, which includes vaccine adjuvant technology regulatory pathways, OTC drug monograph reform compliance, global clinical trial harmonization needs.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting vaccine platform technology regulatory frameworks, OTC monograph reform implementation clarity, and global regulatory convergence.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

GlaxoSmithKline (GSK) plc
GSK plc"
Environmental Working Group,Environmental Working Group,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Environmental Working Group appreciates the opportunity to provide these formal comments. As an entity engaged in cosmetics and personal care product safety advocacy, Skin Deep database and consumer transparency tools, PFAS and chemical contamination campaigns, our perspective is deeply informed by our operational environment, which includes consumer education accessibility requirements, scientific evidence communication challenges, industry opposition to product reformulation.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory cosmetics ingredient safety review, PFAS bans in food packaging, and enhanced FDA authority over personal care products.

The proposed changes will directly impact our operations in the following areas: consumer_protection, public_health, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect consumer protection, public health, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Environmental Working Group
Environmental Working Group"
