Display Name,Organization,Stance,Comment Letter
Old Dominion Freight Line,Old Dominion Freight Line Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Old Dominion Freight Line Inc.

Old Dominion Freight Line Inc. operates extensive networks involving LTL freight carrier with 250+ service centers, union-free workforce with driver development programs. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including LTL pickup and delivery driver scheduling constraints, linehaul relay operations timing sensitivity, safety investment ROI tracking. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Supporting carriers with strong safety records receiving regulatory flexibility, technology-based compliance alternatives, and LTL-specific HOS provisions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Old Dominion Freight Line
Old Dominion Freight Line Inc."
Mothers Against Drunk Driving,Mothers Against Drunk Driving,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Mothers Against Drunk Driving

On behalf of Mothers Against Drunk Driving, an organization dedicated to impaired driving prevention and victim advocacy, CDL holder DUI enforcement strengthening, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including victim-centered advocacy approach, volunteer-driven organizational structure, state-by-state DUI law variation. Furthermore, we anticipate that the proposed changes will significantly impact public safety, regulatory enforcement, driver qualification.

Based on these considerations, we strongly recommend the following: Supporting enhanced drug and alcohol testing for CMV drivers, hair testing adoption, and lifetime CDL disqualification for repeat DUI offenders.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Mothers Against Drunk Driving
Mothers Against Drunk Driving"
California Highway Patrol,California Highway Patrol,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - California Highway Patrol

I am writing as an individual with significant experience in CMV inspection and enforcement on California highways to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including highest truck traffic volume on I-5 and I-10 corridors, port drayage truck emissions and safety overlap, autonomous vehicle testing oversight coordination. Furthermore, we anticipate that the proposed changes will significantly impact regulatory enforcement, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting federal-state enforcement coordination, autonomous CMV testing standards, and enhanced port drayage truck safety requirements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

California Highway Patrol
California Highway Patrol"
"Dr. Jeffrey Hickman, CMV Naturalistic Driving Researcher",Virginia Tech Transportation Institute,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute

As a researcher at Virginia Tech Transportation Institute specializing in naturalistic driving study data analysis for CMV, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including naturalistic driving data privacy and access protocols, study design and generalizability limitations, multi-year longitudinal data collection. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, crash reduction.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting naturalistic driving evidence on distraction and fatigue, supporting evidence-based safety technology requirements, and recommending data-driven policy.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Jeffrey Hickman, CMV Naturalistic Driving Researcher
Virginia Tech Transportation Institute"
"Carlos Mendez, Tanker Truck Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in CDL-A driver with tanker and hazmat endorsements to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including hazmat-specific wait times at loading racks, tanker loading/unloading counted as on-duty time, nighttime delivery requirements from customers. Furthermore, we anticipate that the proposed changes will significantly impact operational burden, driver autonomy, economic impact.

Based on these considerations, we strongly recommend the following: Requesting HOS flexibility for wait times at petroleum loading facilities, hazmat driver recognition for specialized training, and on-duty non-driving time reform.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Carlos Mendez, Tanker Truck Driver
None"
National Tank Truck Carriers,National Tank Truck Carriers,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Tank Truck Carriers

The National Tank Truck Carriers represents a vital sector of the transportation industry, specifically focused on tank truck industry advocacy for liquid and gas haulers, hazmat transportation safety standards. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including loading and unloading detention time impacts on HOS, hazmat security plan and TWIC requirements, specialized equipment maintenance and inspection. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting tanker-specific HOS provisions for loading detention, hazmat regulatory harmonization across DOT agencies, and recognition of tank truck safety investments.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Tank Truck Carriers
National Tank Truck Carriers"
PACCAR Inc.,PACCAR Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - PACCAR Inc.

PACCAR Inc. operates extensive networks involving Kenworth and Peterbilt truck manufacturing, Class 8 heavy-duty truck design and production. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including vehicle design cycle timelines (3-5 years), ADAS technology standardization needs, autonomous vehicle regulatory framework uncertainty. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, innovation impact, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting adequate lead time for vehicle safety technology mandates, performance-based standards over prescriptive design requirements, and autonomous vehicle testing frameworks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

PACCAR Inc.
PACCAR Inc."
Citizens for Reliable and Safe Highways,Citizens for Reliable and Safe Highways (CRASH),Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Citizens for Reliable and Safe Highways (CRASH)

On behalf of Citizens for Reliable and Safe Highways (CRASH), an organization dedicated to truck size and weight limit advocacy, opposition to longer combination vehicles, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including bridge and road infrastructure data reliance, grassroots advocacy with limited resources, competing against industry size and weight lobbying. Furthermore, we anticipate that the proposed changes will significantly impact public safety, infrastructure impact, crash reduction.

Based on these considerations, we strongly recommend the following: Opposing truck size and weight increases, citing bridge and road deterioration data, and supporting current federal limits with enhanced enforcement.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Citizens for Reliable and Safe Highways
Citizens for Reliable and Safe Highways (CRASH)"
North American Van Lines,North American Van Lines (SIRVA),Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - North American Van Lines (SIRVA)

North American Van Lines (SIRVA) operates extensive networks involving interstate household goods moving services, agent-based driver network operations. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including multi-day residential moves across state lines, loading and packing time HOS challenges, summer peak season driver availability. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting HOS flexibility for household goods operations, recognition of unique loading and transit patterns, and seasonal workforce provisions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

North American Van Lines
North American Van Lines (SIRVA)"
National Association of Small Trucking Companies,National Association of Small Trucking Companies,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Association of Small Trucking Companies

The National Association of Small Trucking Companies represents a vital sector of the transportation industry, specifically focused on small fleet and owner-operator advocacy, regulatory burden reduction campaigns. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including members average 5-20 trucks, no dedicated compliance departments, regulations designed for large carriers applied to small operations. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, small business viability, economic impact.

Based on these considerations, we strongly recommend the following: Opposing regulations that disproportionately burden small carriers, requesting tiered compliance based on fleet size, and supporting small business regulatory relief.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Association of Small Trucking Companies
National Association of Small Trucking Companies"
Daimler Truck North America,Daimler Truck North America LLC,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Daimler Truck North America LLC

Daimler Truck North America LLC operates extensive networks involving Freightliner and Western Star truck manufacturing, Detroit Diesel engine and powertrain production. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including EPA emission and FMCSA safety dual compliance on vehicle design, autonomous vehicle regulatory framework development, electric and hydrogen truck infrastructure readiness. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, innovation impact, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting coordinated EPA-FMCSA vehicle standards, autonomous CMV operational design domain clarity, and zero-emission truck weight exemptions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Daimler Truck North America
Daimler Truck North America LLC"
American Bus Association,American Bus Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Bus Association

The American Bus Association represents a vital sector of the transportation industry, specifically focused on motorcoach and intercity bus industry advocacy, charter and tour bus operations policy. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including post-COVID ridership and revenue recovery, motorcoach driver shortage, bus fire and rollover safety technology costs. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, public safety.

Based on these considerations, we strongly recommend the following: Requesting bus-specific safety technology implementation timelines, motorcoach driver recruitment support, and recognition of motorcoach industry financial challenges.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Bus Association
American Bus Association"
Indiana State Police Commercial Vehicle Enforcement,Indiana State Police,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Indiana State Police

I am writing as an individual with significant experience in CMV inspection and enforcement on I-65, I-70, I-80 corridors to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including crossroads of America high-volume truck traffic, MCSAP funding limitations for enforcement hours, inspector recruitment and retention. Furthermore, we anticipate that the proposed changes will significantly impact regulatory enforcement, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting increased MCSAP funding, inspector training standardization, and technology-assisted inspection tools for high-volume corridors.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Indiana State Police Commercial Vehicle Enforcement
Indiana State Police"
"Dr. Susan Soccolich, CMV Driver Fatigue Researcher",Virginia Tech Transportation Institute,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute

As a researcher at Virginia Tech Transportation Institute specializing in driver drowsiness and alertness monitoring research, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including controlled study vs. real-world operational conditions, individual driver variability in fatigue susceptibility, technology validation methodology standards. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, driver health.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting evidence on driver monitoring system effectiveness, supporting fatigue detection technology requirements, and recommending validation standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Susan Soccolich, CMV Driver Fatigue Researcher
Virginia Tech Transportation Institute"
"Lisa Thompson, Motorcoach Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in charter and tour bus driver for 8 years to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including passenger service adds non-driving duties (luggage, boarding), tour itineraries set by operators don't account for HOS, overnight driving on charter trips. Furthermore, we anticipate that the proposed changes will significantly impact driver health, public safety, operational burden.

Based on these considerations, we strongly recommend the following: Describing motorcoach driver fatigue challenges, requesting passenger carrier-specific HOS provisions, and advocating for bus driver rest facility standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Lisa Thompson, Motorcoach Driver
None"
Saia Inc.,Saia Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Saia Inc.

Saia Inc. operates extensive networks involving LTL freight carrier with 200+ terminals, regional and national LTL service network. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including city driver multi-stop routing and HOS management, terminal dock operations shift scheduling, LTL customer delivery window requirements. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting multi-stop delivery HOS flexibility for LTL city drivers, supporting technology-enabled route optimization compliance, and requesting split-sleeper provisions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Saia Inc.
Saia Inc."
Road Safe America,Road Safe America,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Road Safe America

On behalf of Road Safe America, an organization dedicated to truck speed limiter mandate advocacy, large truck crash prevention campaigns, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including founded by truck crash victim family, single-issue focus on speed limiter mandate, scientific evidence on speed-crash severity relationship. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, regulatory enforcement.

Based on these considerations, we strongly recommend the following: Supporting mandatory speed limiters on heavy trucks, citing crash severity reduction data, and opposing industry arguments against speed governing.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Road Safe America
Road Safe America"
National Waste & Recycling Association,National Waste & Recycling Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Waste & Recycling Association

The National Waste & Recycling Association represents a vital sector of the transportation industry, specifically focused on waste hauling and recycling industry advocacy, residential and commercial refuse collection operations. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including frequent-stop residential collection routes, early morning operations and HOS start time issues, high-hazard manual collection labor. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting refuse vehicle HOS exemptions for frequent-stop operations, supporting short-haul exception expansion, and requesting CDL streamlining for waste industry.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Waste & Recycling Association
National Waste & Recycling Association"
UPS Inc.,United Parcel Service Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - United Parcel Service Inc.

United Parcel Service Inc. operates extensive networks involving package delivery and freight transportation, 125,000+ vehicles including tractor-trailers. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including hub-and-spoke overnight sort and delivery operations, peak season volume surge (November-December), union contract provisions affecting scheduling. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting peak season operational flexibility, hub operations HOS considerations, and recognition of UPS safety technology investments.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

UPS Inc.
United Parcel Service Inc."
American Association of State Highway and Transportation Officials,American Association of State Highway and Transportation Officials,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Association of State Highway and Transportation Officials

I am writing as an individual with significant experience in state DOT coordination on highway design and policy to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including bridge and pavement infrastructure capacity limitations, state-federal highway funding coordination, freight growth projections vs. infrastructure capacity. Furthermore, we anticipate that the proposed changes will significantly impact infrastructure impact, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Addressing infrastructure impacts of truck size and weight policy, supporting bridge formula compliance enforcement, and requesting freight corridor investment.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Association of State Highway and Transportation Officials
American Association of State Highway and Transportation Officials"
National Automobile Dealers Association,National Automobile Dealers Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Automobile Dealers Association

The National Automobile Dealers Association represents a vital sector of the transportation industry, specifically focused on auto dealer advocacy including car hauler transportation, vehicle delivery logistics and carrier coordination. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including car hauler driver shortage delays vehicle delivery, seasonal new vehicle demand fluctuations, specialized car hauler equipment and training. Furthermore, we anticipate that the proposed changes will significantly impact economic impact, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting car hauler-specific regulatory provisions, supporting auto transport driver recruitment incentives, and addressing vehicle delivery supply chain impacts.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Automobile Dealers Association
National Automobile Dealers Association"
Coyote Logistics (UPS Company),Coyote Logistics,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Coyote Logistics

Coyote Logistics operates extensive networks involving freight brokerage connecting shippers to carriers, technology platform matching loads to available trucks. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including broker liability and carrier vetting obligations, carrier safety rating data access needs, detention time disputes between shippers and carriers. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, regulatory alignment.

Based on these considerations, we strongly recommend the following: Supporting shipper accountability for detention time, enhanced carrier safety data transparency, and broker-carrier liability clarification.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Coyote Logistics (UPS Company)
Coyote Logistics"
Teamsters National Freight Industry Negotiating Committee,International Brotherhood of Teamsters,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - International Brotherhood of Teamsters

The International Brotherhood of Teamsters represents a vital sector of the transportation industry, specifically focused on union truck driver representation for 600,000+ members, freight industry collective bargaining. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including member health and safety as priority, driver compensation tied to regulatory decisions, management pushback on safety-first scheduling. Furthermore, we anticipate that the proposed changes will significantly impact driver health, public safety, worker safety.

Based on these considerations, we strongly recommend the following: Supporting driver-protective HOS reforms, opposing coercion of drivers to violate safety rules, and requesting detention time compensation requirements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Teamsters National Freight Industry Negotiating Committee
International Brotherhood of Teamsters"
Navistar International Corporation,Navistar International Corporation (International Trucks),Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Navistar International Corporation (International Trucks)

Navistar International Corporation (International Trucks) operates extensive networks involving International brand medium and heavy-duty truck manufacturing, IC Bus school and commercial bus manufacturing. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including medium-duty truck vocational market diversity, school bus safety standard compliance across states, vehicle connectivity and cybersecurity requirements. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, innovation impact, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting performance-based safety technology standards, adequate lead time for medium-duty vehicle mandates, and school bus ADAS integration support.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Navistar International Corporation
Navistar International Corporation (International Trucks)"
American Public Transportation Association,American Public Transportation Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Public Transportation Association

The American Public Transportation Association represents a vital sector of the transportation industry, specifically focused on public transit and bus operator advocacy, transit bus safety standards development. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including public transit agency budget constraints, transit bus driver CDL qualification requirements, urban transit route scheduling and HOS overlap. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, public safety.

Based on these considerations, we strongly recommend the following: Requesting public transit bus exemptions from certain CMV requirements, CDL testing accommodations for transit operators, and urban transit-specific safety standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

American Public Transportation Association
American Public Transportation Association"
National Sheriffs' Association,National Sheriffs' Association,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Sheriffs' Association

I am writing as an individual with significant experience in county-level law enforcement including CMV enforcement to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including limited CMV enforcement training for county officers, rural highway patrol resource constraints, drug trafficking via commercial vehicles. Furthermore, we anticipate that the proposed changes will significantly impact public safety, regulatory enforcement, community impact.

Based on these considerations, we strongly recommend the following: Supporting CMV enforcement training for local law enforcement, enhanced drug testing for drivers, and federal support for rural highway safety.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Sheriffs' Association
National Sheriffs' Association"
"Dr. Matthew Camden, Trucking Human Factors Expert",Virginia Tech Transportation Institute,Neutral,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute

As a researcher at Virginia Tech Transportation Institute specializing in driver workload and task analysis research, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including objective research methodology requirements, driver privacy in monitoring research, technology validation standards for CMV applications. Furthermore, we anticipate that the proposed changes will significantly impact scientific integrity, public safety, innovation impact.

Based on these considerations, we strongly recommend the following: Draft a technically objective comment evaluating driver monitoring technology effectiveness, recommending human factors guidelines for cab technology, and supporting evidence-based training standards.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Matthew Camden, Trucking Human Factors Expert
Virginia Tech Transportation Institute"
"Ray Jenkins, Retired Over-the-Road Driver",,Opposed,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in retired after 30 years of OTR trucking to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including experienced driver perspective on regulatory overreach, witnessed industry changes from paper logs to ELDs, advocates for driver experience-based exemptions. Furthermore, we anticipate that the proposed changes will significantly impact driver autonomy, economic impact, operational burden.

Based on these considerations, we strongly recommend the following: Arguing that experienced drivers deserve regulatory flexibility, opposing electronic monitoring expansion, and citing decades of safe driving without current restrictions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Ray Jenkins, Retired Over-the-Road Driver
None"
Southeastern Freight Lines,Southeastern Freight Lines Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Southeastern Freight Lines Inc.

As a small business owner operating in the regional LTL carrier in Southeastern U.S. space, I am writing to share how the proposed rules will directly impact my company's daily operations and long-term viability.

Our perspective is informed by several critical operational constraints, including regional operating model requires different HOS considerations, driver domicile patterns for regional routes, competitive pressure from national LTL carriers. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting recognition of regional carrier operating patterns, supporting domicile-based HOS flexibility, and requesting proportional compliance for mid-size carriers.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Southeastern Freight Lines
Southeastern Freight Lines Inc."
